#,Keyword,Country,Difficulty,Volume,CPC,Clicks,CPS,Return Rate,Parent Keyword,Last Update,SERP Features
54,beach stock photo,us,18,400,18,162,0.4,1.17,beach wallpaper,2020-06-28 02:33:40,"Image pack, Sitelinks, Videos"
55,baby stock photo,us,9,400,19,99,0.24,1.1,baby photos,2020-06-26 03:49:35,"Image pack, Videos"
56,old lady stock photo,us,0,400,11,131,0.32,1.72,old lady pic,2020-06-30 19:05:10,"Image pack, Thumbnails, Videos"
57,stock photo images,us,95,350,17,206,0.59,2.04,stock photos,2020-06-30 07:16:33,"Image pack, Sitelinks"
58,cowboy stock photo,us,3,350,8,117,0.34,1.25,cowboy images,2020-06-24 08:31:17,"Image pack, Thumbnails"
59,stock photo people,us,21,350,20,93,0.26,1.09,pictures of people,2020-06-22 06:42:44,"Image pack, Sitelinks"
60,stock photo old man,us,2,350,50,98,0.28,1.16,pics of old man,2020-06-26 11:38:50,"Image pack, Videos"
61,stock photo person,us,33,350,0,94,0.27,1.13,persons images,2020-06-30 15:45:12,Image pack
62,computer stock photo,us,5,350,19,80,0.22,1.19,computer images,2020-06-28 06:53:23,"Image pack, Sitelinks, Videos"
63,laptop stock photo,us,10,350,25,107,0.3,1.31,laptop images,2020-06-29 22:16:40,"Image pack, Sitelinks, Videos"
64,police officer stock photo,us,2,350,7,87,0.26,1.14,police officer photo,2020-07-02 15:35:11,"Image pack, Videos"
65,book stock photo,us,10,350,30,123,0.37,1.21,book images,2020-06-28 18:23:44,"Adwords top, Image pack, Sitelinks"
66,laughing stock photo,us,2,300,0,47,0.15,1.14,laughing stock photos,2020-07-03 20:46:34,"Adwords top, Sitelinks, Image pack, Videos"
67,basketball stock photo,us,12,300,,132,0.41,1.08,basketball images,2020-06-21 13:43:02,"Image pack, Sitelinks, Videos"
68,running stock photo,us,6,300,14,25,0.08,1.1,running wallpaper,2020-06-21 05:08:18,"Image pack, Sitelinks, Videos"
69,protest stock photo,us,0,300,,52,0.18,1.02,protesters images,2020-07-08 00:57:00,"Image pack, Sitelinks, Top stories, Thumbnails"
70,stock photo background,us,56,300,16,70,0.23,1.13,backgrounds,2020-07-17 19:05:23,"Image pack, Sitelinks, Top stories, Thumbnails, Videos"
71,kid stock photo,us,5,300,19,99,0.33,1.13,photos kid,2020-07-02 01:06:39,"Adwords top, Sitelinks, Image pack"
72,stock photo modeling,us,6,300,25,,,,stock photography models,2020-06-29 20:34:30,"People also ask, Top stories, Thumbnails"
73,birthday stock photo,us,34,300,10,77,0.25,1.34,birthday images,2020-07-02 10:22:09,"Adwords top, Sitelinks, Image pack"
74,stock photo business,us,20,300,12,152,0.55,3,business images,2020-06-22 14:16:47,"Featured snippet, People also ask, Image pack, Sitelinks, Top stories, Thumbnails"
75,dad stock photo,us,1,300,0,36,0.12,1.15,father stock photo,2020-07-04 09:25:05,Image pack
76,bullying stock photo,us,4,300,0,31,0.1,1.19,bullying,2020-06-23 08:16:52,
77,noose stock photo,us,0,300,0,84,0.26,1.19,image noose,2020-06-27 03:22:30,
78,stock photo face,us,12,300,20,148,0.48,1.24,face image,2020-06-27 12:46:33,"Image pack, Sitelinks"
79,couch stock photo,us,0,300,,29,0.09,1.62,couch pic,2020-07-14 20:50:23,"Adwords top, Sitelinks, Image pack, Videos"
80,thanksgiving stock photo,us,16,300,,101,0.33,1.08,thanksgiving photos,2020-07-03 10:42:49,"Image pack, Thumbnails"
81,stock photo girl,us,7,300,14,95,0.33,1.01,imase girl,2020-06-26 19:16:19,"Adwords top, Sitelinks, Featured snippet, People also ask, Videos"
82,child stock photo,us,5,300,11,69,0.22,1.13,childer photo,2020-07-14 19:30:59,"Adwords top, Sitelinks, Image pack, Videos"
83,flower stock photo,us,40,300,,70,0.23,1.09,flower pictures,2020-07-15 00:43:52,"Adwords top, Sitelinks, Image pack, Videos"
84,college student stock photo,us,0,300,9,29,0.1,1.24,college student stock photo free,2020-07-20 14:02:25,"Adwords top, Sitelinks, Image pack"
85,books stock photo,us,0,300,,100,0.31,1.57,book images,2020-07-15 08:29:30,"Image pack, Sitelinks, Videos"
86,heart attack stock photo,us,1,300,0,77,0.26,1.16,heart attack picture,2020-06-26 14:27:43,"Image pack, Top stories, Thumbnails"
87,people stock photo,us,33,250,,88,0.38,1.17,pictures of people,2020-07-01 15:07:12,"Image pack, Sitelinks, Top stories, Thumbnails"
88,horse stock photo,us,26,250,,65,0.28,1.54,horse pictures,2020-07-03 16:08:55,"Adwords top, Sitelinks, Image pack, Videos"
89,flowers stock photo,us,35,250,,48,0.19,1.13,pictures of flowers,2020-07-07 00:57:41,"Adwords top, Sitelinks, Image pack, Videos"
90,meeting stock photo,us,6,250,8,82,0.3,1.21,meeting pic,2020-07-05 09:12:35,"Adwords top, Sitelinks, Image pack"
91,penguin stock photo,us,10,250,,197,0.78,1.28,penguin pitures,2020-07-02 22:14:12,"Adwords top, Sitelinks, Image pack"
92,mom stock photo,us,0,250,0,35,0.13,1.05,momimages,2020-06-26 21:26:53,"Adwords top, Sitelinks, Image pack, Videos"
93,distracted boyfriend stock photo,us,34,250,,144,0.6,1.17,distracted boyfriend stock photo,2020-07-06 07:26:10,"Adwords top, Image pack, Sitelinks, Top stories, Thumbnails"
94,clown stock photo,us,5,250,0,53,0.23,1.14,clown pictures,2020-07-16 10:18:44,"Image pack, Videos"
95,cool kid stock photo,us,0,250,25,87,0.37,1.15,cool kid pic,2020-06-28 03:38:51,Image pack
96,coffee stock photo,us,12,250,20,79,0.32,1.27,coffee images,2020-07-03 06:09:43,"Image pack, Sitelinks, Videos"
97,grandma stock photo,us,0,250,10,46,0.18,1.12,grandma photos,2020-06-26 23:05:04,Image pack
98,stock photo funny,us,39,250,20,58,0.25,1.13,weird stock photos,2020-06-27 12:47:25,"Image pack, Videos"
99,feet stock photo,us,3,250,,14,0.06,1.21,pics of feets,2020-06-23 01:12:39,Videos
100,depression stock photo,us,9,250,17,36,0.16,1.09,depression test,2020-06-30 16:56:51,"Adwords top, Sitelinks"
